,bedrooms,bathrooms,toilets,parking_space,price,title,town,state,cluster
1353,4,4,5,4,120000000,2,99,16,2
1354,5,5,6,4,110000000,2,99,16,2
1359,5,6,6,4,160000000,2,99,16,2
1362,4,4,5,4,280000000,2,68,16,1
1364,3,5,5,4,28000000,6,10,16,0
1365,3,3,4,4,35000000,1,10,16,0
1371,5,5,5,4,85000000,2,106,16,0
1373,5,6,7,4,55000000,2,10,16,0
1375,4,5,5,4,140000000,2,99,16,2
1378,5,5,5,4,91000000,2,55,16,0
1379,3,3,4,4,11000000,1,111,18,0
1380,4,5,6,4,260000000,2,68,16,1
1381,4,4,5,4,70000000,6,141,16,0
1382,5,6,6,4,120000000,2,99,16,2
1384,4,5,5,4,80000000,2,99,16,0
1385,5,5,6,4,85000000,2,10,16,0
1386,5,6,7,4,120000000,2,99,16,2
1387,4,5,5,4,70000000,2,99,16,0
1390,5,5,5,4,130000000,2,99,16,2
1392,5,5,6,4,260000000,2,99,16,1
1393,5,5,5,4,122000000,2,99,16,2
1394,5,5,6,4,150000000,2,99,16,2
1395,5,5,6,4,85000000,2,10,16,0
1399,4,4,5,4,170000000,2,32,1,2
1402,5,5,6,4,50000000,2,48,1,0
1403,4,4,5,4,120000000,2,99,16,2
1404,5,5,5,4,120000000,2,64,16,2
1405,4,5,5,4,89500000,2,100,1,0
